experiment,workflow,energy_trace,shift_mode,c_value,deadline_factor,deadline,task_ordering,scheduling_hash,power_distribution,min_makespan,makespan,workflow_stretch,brown_energy_used,green_energy_used,total_energy,green_energy_not_used,max_active_tasks,active_tasks_mean,active_tasks_std,number_of_tasks,scheduling_violations
J9_E174,soykb,trace-1,right-left,0.8,4,90792,power,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E175,soykb,trace-1,right-left,0.8,4,90792,runtime,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E176,soykb,trace-1,right-left,0.8,4,90792,runtime_ascending,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E177,soykb,trace-1,right-left,0,8,181584,energy,-5911158560968955332,uniform,22698,21378,21378,6.185689294113672e-07,2820948.0391532,2820948.0391538185,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E178,soykb,trace-1,right-left,0,8,181584,power,-5911158560968955332,uniform,22698,21378,21378,3.8822518533265793e-07,2820948.039151629,2820948.0391520173,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E179,soykb,trace-1,right-left,0,8,181584,runtime,-5911158560968955332,uniform,22698,21378,21378,4.957189325693889e-07,2820948.039153321,2820948.039153817,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E180,soykb,trace-1,right-left,0,8,181584,runtime_ascending,-5911158560968955332,uniform,22698,21378,21378,6.339251790166145e-07,2820948.0391531847,2820948.0391538185,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E181,soykb,trace-1,right-left,0.2,8,181584,energy,1963634123838442454,uniform,22698,85930,85930,3.152829997077333e-07,2820948.0391516844,2820948.0391519996,6513791051.96085,209,92.83167495854063,52.42944937570381,993,0
J9_E182,soykb,trace-1,right-left,0.2,8,181584,power,4027314124189763281,uniform,22698,103500,103500,0,2820948.0391519954,2820948.0391519954,6513791051.96085,171,60.368940016433854,41.0948172108032,993,0
J9_E183,soykb,trace-1,right-left,0.2,8,181584,runtime,-4840813298768663076,uniform,22698,85930,85930,1.0177139131428703e-07,2820948.0391518935,2820948.0391519954,6513791051.96085,240,95.46058091286307,67.63047791381952,993,0
J9_E184,soykb,trace-1,right-left,0.2,8,181584,runtime_ascending,6453985494397331726,uniform,22698,41576,41576,0,2820948.0391519866,2820948.0391519866,6513791051.960848,349,149.04574565416286,105.96751053994876,993,0
J9_E185,soykb,trace-1,right-left,0.5,8,181584,energy,-1932345307761980079,uniform,22698,172330,172330,0,2820948.039151994,2820948.039151994,6513791051.960849,173,45.59300341296928,44.84980973760715,993,0
J9_E186,soykb,trace-1,right-left,0.5,8,181584,power,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E187,soykb,trace-1,right-left,0.5,8,181584,runtime,-2671443963308550282,uniform,22698,172330,172330,1.6220038645542445e-07,2820948.039151842,2820948.039152004,6513791051.96085,208,53.44750430292599,60.853343831190614,993,0
J9_E188,soykb,trace-1,right-left,0.5,8,181584,runtime_ascending,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E189,soykb,trace-1,right-left,0.8,8,181584,energy,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E190,soykb,trace-1,right-left,0.8,8,181584,power,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E191,soykb,trace-1,right-left,0.8,8,181584,runtime,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E192,soykb,trace-1,right-left,0.8,8,181584,runtime_ascending,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J25_E1,soykb,trace-1,none,0,1,22698,energy,-5911158560968955332,gaussian,22698,21378,21378,0,2790360.3686563247,2790360.3686563247,6513821639.631344,311,151.79545454545453,94.64709128276844,993,0
J25_E2,soykb,trace-1,none,0,1,22698,power,-5911158560968955332,gaussian,22698,21378,21378,0,2790360.3686563256,2790360.3686563256,6513821639.631344,311,151.79545454545453,94.64709128276844,993,0
J25_E3,soykb,trace-1,none,0,1,22698,runtime,-5911158560968955332,gaussian,22698,21378,21378,0,2790360.3686563256,2790360.3686563256,6513821639.631344,311,151.79545454545453,94.64709128276844,993,0
J25_E4,soykb,trace-1,none,0,1,22698,runtime_ascending,-5911158560968955332,gaussian,22698,21378,21378,0,2790360.3686563256,2790360.3686563256,6513821639.631344,311,151.79545454545453,94.64709128276844,993,0
J25_E5,soykb,trace-1,none,0.2,1,22698,energy,-2866214460687620067,gaussian,22698,21378,21378,0,2790360.3686563266,2790360.3686563266,6513821639.631344,329,153.0603204524034,102.6912212608661,993,0
J25_E6,soykb,trace-1,none,0.2,1,22698,power,-6402692166189524253,gaussian,22698,21882,21882,0,2790360.36865633,2790360.36865633,6513821639.631344,311,151.63317535545025,96.71478951667527,993,0
J25_E7,soykb,trace-1,none,0.2,1,22698,runtime,4635774734463997113,gaussian,22698,21378,21378,0,2790360.3686563293,2790360.3686563293,6513821639.631344,321,153.57670454545453,103.74729500011355,993,0
J25_E8,soykb,trace-1,none,0.2,1,22698,runtime_ascending,8493839277985617730,gaussian,22698,21566,21566,0,2790360.3686545216,2790360.3686545216,6513821639.631344,306,157.90108803165182,107.59866809144359,993,0
J25_E9,soykb,trace-1,none,0.5,1,22698,energy,-3433005287674101235,gaussian,22698,21378,21378,0,2790360.368656319,2790360.368656319,6513821639.631344,365,159.01923076923077,116.2140901117628,993,0
J25_E10,soykb,trace-1,none,0.5,1,22698,power,2474439066521790900,gaussian,22698,21743,21743,0,2790360.3686545053,2790360.3686545053,6513821639.631344,317,154.11576846307386,106.07480712286085,993,0
J25_E11,soykb,trace-1,none,0.5,1,22698,runtime,-8100390479631663630,gaussian,22698,21378,21378,0,2790360.3686545254,2790360.3686545254,6513821639.631344,366,158.41461006910168,118.07390272919137,993,0
J25_E12,soykb,trace-1,none,0.5,1,22698,runtime_ascending,1830147050466621547,gaussian,22698,22172,22172,0,2790360.368654521,2790360.368654521,6513821639.631344,329,146.56196581196582,111.06322526560639,993,0
J25_E13,soykb,trace-1,none,0.8,1,22698,energy,-4925436140570223210,gaussian,22698,21378,21378,2.6129618468928584e-07,2790360.3686560886,2790360.36865635,6513821639.631344,387,174.1630859375,128.08190868351454,993,0
J25_E14,soykb,trace-1,none,0.8,1,22698,power,4388613758368673868,gaussian,22698,21775,21775,0,2790360.368654519,2790360.368654519,6513821639.631344,281,145.54814814814816,89.48261157699325,993,0
